Name of the raag,Aaroh - Avroh,Pakad,Vadi-Samvadi,Time,Swara - Set,Gamak,Rasa(emotional essence or mood))
Desi,"S R m P n S' - S' P D m P R g S R ,n S","R m P ; D m P S' ; S' P D m P ; R g S R ,n S;",Pancham - Shadj,6AM to 9AM,S-R-g-m-P-D-n-S,S R~ G~ M~ P D~ N S | S N D~ P M G R S,Veera
Dev Gandhar,S R G m P m g R G m P d n S' - S' n d P m P g R G m g R S,",d ,n S R G m G m ; d m P n d P ; d m P g R S ; R G m ; P g R S ; d m P g R G m g R S ;",Dhaivat - Gandhar,9AM to 12PM,S-R-gG-m-P-d-n-S,S R G~ M P~ D N S | S N D P M G~ R S,Shanta
Devgiri Bilawal,"S R G P D N S' - S' N D P ; D n D P ; m G R S ; ,N S ; ,D ,P G R S","S ; ,D ,N ,D S R G ; G R S ; ,D ,P G ; ,N R G m G ; G P m ; G R S ;",Shadj - Pancham,6AM to 9AM,S-R-G-m-P-D-nN-S,S G~ R M~ P N S | S N~ D~ P M~ G R S,Hasya
Devshree,S R M P n S' - S' n P M R S,"R M P ; M P n P ; M R S; ,n ,P ,n S;",Pancham - Rishabh,9PM to 12AM,S-R-M-P-n-S,S G~ M P~ D N S | S N D P~ M G~ R S,Shringar
Dhanashree (Bhairavi Ang),",n S g m P n S' - S' n d P m P g m g r S",S; g m P n d P ; P d m P g ; m g r S ; g m P g r S ;,Pancham - Shadj,12PM to 3PM,S-R-g-m-P-D-n-S,S r~ G~ M P D~ N S | S N D~ P M G~ r S,Karuna
Dhani,S g m P n S' - S' n P m g S,",n S g ; S g m P g ; n P g S ;",Gandhar - Nishad,12PM to 3PM,S-g-m-P-n-S,S G~ M D~ N S | S N~ D P M G R S,Shringar
Durga,"S R m P D S' - S' D P D m R S ,D S","m P D ; m R ,D S ; R R P;",Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-S,S R G~ M P D S | S D~ P M G~ R S,Veera
Gaud Malhar,S R G m ; R P ; m P D N S' - S' n D n P m ; G R G (R)S ; R G m,S R G m ; R G m G m ; G R G (R)S ; m P D n P ; m P D N S' ;,Madhyam - Shadj,9PM to 12AM,S-R-G-m-P-D-nN-S,S R M~ P N S | S N~ D~ P M G R~ S,Adbhuta
Gaud Sarang,"S G R m G D P N D S' or ,N S G R m G; P M D M P S'; - S' N D P M P D P G R m G P R S or S' N D P M P m g ; m g R m G P R S",S G R m G P R S ; m G P ; D P S' ; S' D P m G ; G R m G P R S ;,Gandhar - Dhaivat,12PM to 3PM,S-R-G-mM-P-D-N-S,S R G~ M P N~ S | S N~ D P M G~ R S,Hasya
Gauri (Bhairav Ang),"S r ,N S; S r G m P d P; P d N S' - S' N d P m G; r G m G r; S r ,N S; ,d ,N ,d S ,N S","S r S ,N S G r; m G r S r ,N S;",Rishabh - Pancham,3PM to 6PM,S-r-G-m-P-d-N-S,S r~ G M~ P D~ N S | S N~ D P~ M~ G r S,Shanta
Gopika Basant,"S g m P m g g m d n S' - S' n d m P g m P m g S; ,d ,n S g m g S",",d ,n S g m P ; n d m P g m g S ; g m d n d P ; d m P g m g S ; ,d ,n S;",Shadj - Pancham,6AM to 9AM,S-g-m-P-d-n-S,S G~ M P~ N D S | S N D P~ M~ G R S,Shringar
Gorakh Kalyan,"S R m D S' - S' n D m R S ,n ; ,n ,D R S","S R m ; R m R S ,n ; ,n D S ; R m D n D S' ; S' n D m R ; m R S ,n ; ,n ,D R S",Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-n-S,S R~ G~ M~ P~ N S | S N~ D~ P~ M~ G R S,Shanta
Gunkali,"S r m P d S' - S' d P m r r S ,d S","S r m P d ; P d m r ; r S ,d S ; m P d d S' ; d P d m ; P m r S",Dhaivat - Rishabh,6AM to 9AM,S-r-m-P-d-S,S r G~ M P~ N S | S N D~ P M G r~ S,Karuna
Gurjari Todi,"S r g M d N S' - S' N d M d M g r g r S; ,d ,N S","S r ,N ,d S ; r g M d ; M d N d ; N d M g r ; g r S",Dhaivat - Rishabh,9AM to 12PM,S-r-g-M-d-N-S,S r~ G M~ D~ N S | S N D P~ M~ G r S,Karuna
Hameer,S G m D ; N D S'; or S G m N D P ; G m D N S' - S' N D P M P D P G m P G m R S; or S' N D P G m R S,P ; G m N D ; D P ; G m P G m R S,Dhaivat - Gandhar,9PM to 12AM,S-R-G-mM-P-D-N-S,S R~ G M~ D N~ S | S N D~ P M~ G R~ S,Shringar
Hansdhwani,"S R G P N S' - S' N P G R S ,N ,P ,N R S",",N RG P G R G P N S'; S' N P G R G P G R S",Shadj - Pancham,9PM to 12AM,S-R-G-P-N-S,S R G~ P N~ S | S N P G R~ S,Adbhuta
Hanskinkini,",N S G m P N S' - S' n D P m P G m P g R S ,N S","G m D P ; m P g R S ; ,N S G m P P ; m P ; m n D P ; D P m P ; G m D P g R S",Pancham - Shadj,12PM to 3PM,S-R-gG-m-P-D-nN-S,S G M~ P~ N S | S N~ D P~ M G~ R S,Hasya
Harikauns,S g M D n S' - S' n D M g S,"S ,D ,n S ; g M g S ; g M D n S' ; S' n D M g S ; g M g S ,n S ,D ,n g S",Gandhar - Nishad,9PM to 12AM,S-g-M-D-n-S,S M~ G D~ N S | S N~ D~ M G~ R S,Adbhuta
Hemant,S G m D N S' - S' N D P m G R S,G m D N D ; m (P)m ; N D (P)m ; G m G R S ; G m D P m G R S,Madhyam - Shadj,9PM to 12AM,S-R-G-m-P-D-N-S,S G~ M D~ N S | S N D~ M G~ R S,Shanta
Hemshree,",N S g m P N S' - S' n P m g m g S ,N ,N S",",N S g m P ; m g S g ,N S ; g m P S' ; n P ; m ; Pm gm P ; g P m g S g ,NS",Nishad - Gandhar,9PM to 12AM,S-g-m-P-nN-S,S G~ M~ D~ N S | S N D~ M~ G R S,Karuna
Hindol,"S G M D N M D S' - S' N D M G M G S ,D S","D D N M D S' ; D M G ; S ,D ,D S",Dhaivat - Gandhar,12AM to 3AM,S-G-M-D-N-S,S G~ M~ D~ N S | S N~ D M G~ S,Adbhuta
Jaijaivanti,"S ,D ,n R; R g R S; G m P m G R ; R m P N S' - S' n D P m G R g R S; ,N S ,D ,n R S",",D,n R ; R g R S ; ,N S ; R m P N ; n D P",Rishabh - Pancham,9PM to 12AM,S-R-gG-m-P-D-nN-S,S R~ G~ M P~ N S | S N~ D~ P M G~ R S,Shringar
Jaldhar Kedar,S R m P D S' - S' D P m R S,S R S m ; m R P m ; m P D S' ; R' S' D P m ; P m R S,Madhyam - Shadj,9PM to 12AM,S-R-m-P-D-S,S R~ G P~ D~ N S | S N~ D~ P G R~ S,Adbhuta
Jaunpuri,S R m P d n S' - S' n d P m g R S,"R m P , d m P S' ; R' n d P ; m P n d P ; d m P g R m P",Dhaivat - Gandhar,9AM to 12PM,S-R-g-m-P-d-n-S,S R~ g M P~ D~ n S | S n~ D~ P M g R~ S,Karuna
Jayat,S r G P D P S' - S' P D P ; P D G P; P G r S,P D P S'; S' P ; P D G P ; P G r S,Pancham - Shadj,3PM to 6PM,S-rR-G-P-D-S,S R~ G~ M P~ N D S | S N~ D~ P M G R S,Veera
Jhinjhoti,S R m P D S'; - S' n D P m G R G S,",D S R m G ; R G S R ,n ,D ,P ,D S ; ,P ,D S R G m G ; m G R S ; R ,n ,D S",Gandhar - Nishad,9PM to 12AM,S-R-G-m-P-D-n-S,S R G~ M P~ D N S | S N~ D~ P M G~ R S,Hasya
Jog,"S G m P n S'; - S' n P m g S; ,n S",G m P n P ; P n P m G m ; G m g S,Madhyam - Shadj,9PM to 12AM,S-gG-m-P-n-S,S G~ M~ P N S | S N~ P~ M G~ R S,Shringar
